Alabama, 40500,
Alaska, 64600,
Arizona, 46800,
Arkansas, 38300,
California, 57700,
Colorado, 54000,
Connecticut, 64000,
Delaware, 55800,
District of Columbia, 60900,
Florida, 44400,
Georgia, 46400,
Hawaii, 63000,
Idaho, 43500,
Illinois, 53000,
Indiana, 44600,
Iowa, 48000,
Kansas, 48300,
Kentucky, 40100,
Louisiana, 42500,
Maine, 45800,
Maryland, 68900,
Massachusetts, 62100,
Michigan,45400,
Minnesota,55500,
Mississippi,36900,
Missouri,44300,
Montana,42700,
Nebraska,48400,
Nevada,51000,
New Hampshire,61000,
New Jersey, 67700,
New Mexico, 42100,
New York, 54100,
North Carolina, 43300,
North Dakota, 48700,
Ohio, 45100,
Oklahoma, 42100,
Oregon, 46600,
Pennsylvania, 49300,
Rhode Island, 52300,
South Carolina, 42000,
South Dakota, 45900,
Tennessee, 41500,
Texas, 48600,
Utah, 54700,
Vermont, 49400,
Virginia, 60700,
Washington, 55600,
West Virginia, 38200,
Wisconsin, 49000,
Wyoming, 53500,

